Station Name,City
Van Cortlandt Park - 242nd St,New York
West Farms Sq - E Tremont Av,New York
219th St,New York
Mosholu Pkwy,New York
Norwood - 205th St,New York
Burke Ave,New York
Baychester Ave,New York
Eastchester - Dyre Ave,New York
Jamaica - 179th St,New York
Wakefield - 241st St,New York
Botanic Garden,New York
Bushwick - Aberdeen,New York
Broadway Junction,New York
Gun Hill Rd,New York
E 180th St,New York
Dyckman St,New York
125th St,New York
Franklin Ave - Fulton St,New York
149th St - Grand Concourse,New York
3rd Ave - 149th St,New York
167th St,New York
Brook Ave,New York
33rd St,New York
40th St,New York
145th St,New York
155th St,New York
161st St - Yankee Stadium,New York
Utica Ave,New York
Steinway St,New York
Kosciuszko St,New York
Gates Ave,New York
Central Ave,New York
Knickerbocker Ave,New York
30th Ave,New York
Jefferson St,New York
Morgan Ave,New York
Queens Plz,New York
18th Ave,New York
77th St,New York
Bay Ridge Ave,New York
50th St,New York
Ft Hamilton Pkwy,New York
25th Ave,New York
Bay Pky,New York
20th Ave,New York
18th Ave,New York
Bay Ridge - 95th St,New York
86th St,New York
79th St,New York
71st St,New York
20th Ave,New York
18th Ave,New York
62nd St,New York
New Utrecht Ave,New York
Ave U,New York
Kings Hwy,New York
Brighton Beach,New York
Sheepshead Bay,New York
Ave U,New York
Kings Hwy,New York
Ave U,New York
Kings Hwy,New York
Neptune Ave,New York
Ave X,New York
Bay 50th St,New York
Gravesend - 86th St,New York
Ave P,New York
Ave N,New York
Bay Pky,New York
Ave M,New York
Bay Pky,New York
Ave I,New York
Ave J,New York
Ave H,New York
Neck Rd,New York
21st St - Queensbridge,New York
50th St,New York
7th Ave,New York
47th-50th Sts - Rockefeller Ctr,New York
57th St,New York
Lexington Ave - 63rd St,New York
Roosevelt Island - Main St,New York
59th St - Columbus Circle,New York
49th St,New York
57th St,New York
5th Ave - 59th St,New York
Lexington Ave - 59th St,New York
34th St - Penn Station,New York
Times Sq - 42nd St,New York
Fulton St,New York
Chambers St,New York
42nd St - Port Authority Bus Term,New York
Myrtle-Willoughby Aves,New York
Flushing Ave,New York
23rd St,New York
Herald Sq - 34th St,New York
Hoyt - Schermerhorn Sts,New York
Jay St - MetroTech,New York
East Broadway,New York
Delancey St - Essex St,New York
Lower East Side - 2nd Ave,New York
Flushing Ave,New York
Myrtle Ave,New York
4th Av - 9th St,New York
Smith - 9th Sts,New York
Bergen St,New York
Jay St - MetroTech,New York
Court St,New York
Union Sq - 14th St,New York
23rd St,New York
Prospect Ave,New York
4th Av - 9th St,New York
3rd Ave,New York
Union Sq - 14th St,New York
Liberty Ave,New York
Broadway Junction,New York
59th St,New York
45th St,New York
36th St,New York
9th Ave,New York
53rd St,New York
Ft Hamilton Pkwy,New York
25th St,New York
Carroll St,New York
Spring St,New York
181st St,New York
190th St,New York
116th St,New York
125th St,New York
Prince St,New York
8th St - NYU,New York
Fulton St,New York
Park Pl,New York
Chambers St,New York
Hoyt St,New York
Borough Hall,New York
183rd St,New York
Fordham Rd,New York
World Trade Center,New York
Canal St - Holland Tunnel,New York
155th St,New York
163rd St - Amsterdam Av,New York
Fulton St,New York
Chambers St,New York
Canal St,New York
City Hall,New York
Canal St,New York
South Ferry,New York
Bowling Green,New York
Wall St,New York
Whitehall St,New York
Rector St,New York
Fresh Pond Rd,New York
Middle Village - Metropolitan Ave,New York
Rector St,New York
Cortlandt St,New York
Fulton St,New York
Broad St,New York
Cortlandt St,New York
Wall St,New York
Dyckman St,New York
Grand St,New York
Broadway - Lafayette St,New York
Bowery,New York
Canal St,New York
23rd St,New York
34th St - Penn Station,New York
Jackson Hts - Roosevelt Av,New York
14th St,New York
135th St,New York
14th St,New York
6th Ave,New York
8th Ave,New York
14th St,New York
Nostrand Ave,New York
Clark St,New York
Franklin Ave,New York
Clinton - Washington Aves,New York
Forest Ave,New York
110th St,New York
86th St,New York
York St,New York
High St,New York
Lafayette Ave,New York
President St,New York
Woodlawn,New York
Bleecker St,New York
103rd St,New York
Euclid Ave,New York
88th St,New York
Cortelyou Rd,New York
116th St,New York
Parkchester,New York
Franklin St,New York
80th St,New York
5th Ave - Bryant Pk,New York
Spring St,New York
125th St,New York
Coney Island - Stillwell Av,New York
34th St - Hudson Yards,New York
72nd St,New York
86th St,New York
96th St,New York
Acton Town,London
Acton Central,London
Acton Central,London
Aldgate,London
Aldgate East,London
Alperton,London
Amersham,London
Angel,London
Archway,London
Arnos Grove,London
Arsenal,London
Baker Street,London
Baker Street,London
Balham,London
Bank,London
Barbican,London
Barking,London
Barkingside,London
Barons Court,London
Bayswater,London
Becontree,London
Belsize Park,London
Bermondsey,London
Bethnal Green,London
Blackfriars,London
Blackhorse Road,London
Bond Street,London
Borough,London
Boston Manor,London
Bounds Green,London
Bow Road,London
Brent Cross,London
Brixton,London
Bromley-by-Bow,London
Brondesbury,London
Brondesbury Park,London
Buckhurst Hill,London
Burnt Oak,London
Caledonian Road,London
Caledonian Road & Barnesbury,London
Camden Road,London
Camden Town,London
Canada Water,London
Canary Wharf,London
Cannon Street,London
Canonbury,London
Canons Park,London
Chalfont & Latimer,London
Chalk Farm,London
Chancery Lane,London
Charing Cross,London
Chesham,London
Chigwell,London
Chiswick Park,London
Chorleywood,London
City Thameslink,London
Clapham Common,London
Clapham North,London
Clapham South,London
Cockfosters,London
Colindale,London
Colliers Wood,London
Covent Garden,London
Croxley,London
Dagenham East,London
Dagenham Heathway,London
Dalston Kingsland,London
Debden,London
Dollis Hill,London
Ealing Broadway,London
Ealing Common,London
Earl's Court,London
East Acton,London
East Finchley,London
East Ham,London
East Putney,London
Eastcote,London
Edgware,London
Edgware Road (Bakerloo Line),London
Edgware Road (Circle Line),London
Elephant & Castle,London
Elm Park,London
Embankment,London
Epping,London
Euston,London
Euston Square,London
Fairlop,London
Farringdon,London
Farringdon,London
Finchley Central,London
Finchley Road,London
Finchley Road and Frognal,London
Finsbury Park,London
Fulham Broadway,London
Gants Hill,London
Gloucester Road,London
Golders Green,London
Goldhawk Road,London
Goodge Street,London
Gospel Oak,London
Grange Hill,London
Great Portland Street,London
Greenford,London
Gunnersbury,London
Green Park,London
Hackney Central,London
Hackney Wick,London
Hainault,London
Hammersmith (Dist&Picc Line),London
Hammersmith (H&C Line),London
Hampstead,London
Hampstead Heath,London
Hanger Lane,London
Harlesden,London
Harrow & Wealdstone,London
Harrow-on-the-Hill,London
Hatton Cross,London
Heathrow Terminals 1-2-3,London
Heathrow Terminal 4,London
Hendon Central,London
High Barnet,London
High Street Kensington,London
Highbury & Islington,London
Highgate,London
Hillingdon,London
Holborn,London
Holland Park,London
Holloway Road,London
Homerton,London
Hornchurch,London
Hounslow Central,London
Hounslow East,London
Hounslow West,London
Hyde Park Corner,London
Ickenham,London
Kennington,London
Kensal Green,London
Kensal Rise,London
Kensington (Olympia),London
Kentish Town,London
Kentish Town West,London
Kenton,London
Kew Gardens,London
Kilburn,London
Kilburn Park,London
King's Cross St.Pancras,London
King's Cross Thameslink,London
Kingsbury,London
Knightsbridge,London
Ladbroke Grove,London
Lambeth North,London
Lancaster Gate,London
Latimer Road,London
Leicester Square,London
Leyton,London
Leytonstone,London
Liverpool Street,London
London Bridge,London
Loughton,London
Maida Vale,London
Manor House,London
Mansion House,London
Marble Arch,London
Marylebone,London
Mile End,London
Mill Hill East,London
Monument,London
Moor Park,London
Moorgate,London
Morden,London
Mornington Crescent,London
Neasden,London
New Cross,London
New Cross Gate,London
Newbury Park,London
North Acton,London
North Ealing,London
North Greenwich,London
North Harrow,London
North Wembley,London
Northfields,London
Northolt,London
Northolt,London
Northwick Park,London
Northwood,London
Northwood Hills,London
Notting Hill Gate,London
Oakwood,London
Old Street,London
Osterley,London
Oval,London
Oxford Circus,London
Paddington,London
Paddington (H&C Line),London
Park Royal,London
Parsons Green,London
Perivale,London
Piccadilly Circus,London
Pimlico,London
Pinner,London
Plaistow,London
Preston Road,London
Putney Bridge,London
Queen's Park,London
Queensbury,London
Queensway,London
Ravenscourt Park,London
Rayners Lane,London
Redbridge,London
Regent's Park,London
Richmond,London
Richmond,London
Rickmansworth,London
Roding Valley,London
Rotherhithe,London
Royal Oak,London
Ruislip,London
Ruislip Gardens,London
Ruislip Manor,London
Russell Square,London
St.James's Park,London
Seven Sisters,London
Shadwell,London
Shepherd's Bush,London
Shepherd's Bush Market,London
Sloane Square,London
Snaresbrook,London
South Acton,London
South Ealing,London
South Harrow,London
South Kensington,London
South Kenton,London
South Ruislip,London
South Wimbledon,London
South Woodford,London
Southfields,London
Southgate,London
Southwark,London
St.John's Wood,London
St.Paul's,London
Stamford Brook,London
Stanmore,London
Stepney Green,London
Stockwell,London
Stonebridge Park,London
Stratford,London
Stratford,London
Sudbury Hill,London
Sudbury Town,London
Surrey Quays,London
Swiss Cottage,London
Temple,London
Theydon Bois,London
Tooting Bec,London
Tooting Broadway,London
Tottenham Court Road,London
Tottenham Court Road,London
Tottenham Hale,London
Totteridge & Whetstone,London
Tower Hill,London
Tufnell Park,London
Turnham Green,London
Turnpike Lane,London
Upminster,London
Upminster Bridge,London
Upney,London
Upton Park,London
Uxbridge,London
Vauxhall,London
Victoria,London
Walthamstow Central,London
Wanstead,London
Wapping,London
Warren Street,London
Warwick Avenue,London
Waterloo,London
Watford,London
Wembley Central,London
Wembley Park,London
West Acton,London
West Brompton,London
West Finchley,London
West Ham,London
West Hampstead,London
West Hampstead,London
West Hampstead,London
West Hampstead,London
West Harrow,London
West Kensington,London
West Ruislip,London
Westbourne Park,London
Westminster,London
White City,London
Whitechapel,London
Willesden Green,London
Willesden Junction,London
Willesden Junction,London
Wimbledon,London
Wimbledon Park,London
Wood Green,London
Woodford,London
Woodside Park,London
